Skilling 500 - Klassplacering (inofficiella resultat),,,,,,,,,,,,
Ungdom,,,,,,,,,,,,
Snr,Tot.pl,Kl.pl,Fk,Namn,Klubb,Bil,Anmälare,Tillägg (sek),Tot.tid,Tot.diff,Kl.diff,Sträcktider
1,51,1,U,Emil Karlsson/Patrik Berglund,Södra Sunnerbos MK/Södra Sunnerbos MK,Volvo 940,,0,"22.42,0","2.40,4",,"5.05,2 | 3.49,3 | 3.57,7 | 9.49,8 |"
2,58,2,U,Linus Gustafsson Thor/Tim Lagerstam,Kullings MS/Kullings MS,Volvo 940,,0,"22.58,6","2.57,0","0.16,6","5.06,5 | 3.53,4 | 4.02,9 | 9.55,8 |"
3,64,3,U,Maximus Joge/Janne Blom,Finspångs MS/Finspångs MS,Volvo 940,,0,"23.24,0","3.22,4","0.42,0","5.12,0 | 3.57,8 | 4.07,0 | 10.07,2 |"
5,72,4,U,Eddie Ramírez Eriksson /Agustin Ramírez Acosta,Nässjö MK/Nässjö MK,Volkswagen Polo,,0,"23.52,9","3.51,3","1.10,9","5.13,9 | 3.59,3 | 4.14,5 | 10.25,2 |"
6,73,5,U,Hannes Brorsson/Jörgen Brorsson,Ryds MK/Ryds MK,Volvo 244,,0,"23.55,2","3.53,6","1.13,2","5.21,1 | 4.06,5 | 4.11,7 | 10.15,9 |"
4,77,6,U,Ludvig Fransson/Daniel Mörn,Vimmerby MS/Gränna MK,Volvo 940,,0,"24.19,9","4.18,3","1.37,9","5.33,7 | 4.05,6 | 4.15,6 | 10.25,0 |"
7,93,7,U,Emil Salomonsson/Roger Salomonsson,Varbergs MK/Varbergs MK,Volvo 242,,0,"25.24,3","5.22,7","2.42,3","5.54,3 | 4.17,8 | 4.29,3 | 10.42,9 |"
8,97,8,U,Helmer Eriksson /David Käll,Films MK/Films MK,Mazda 323,,0,"31.34,2","11.32,6","8.52,2","7.22,9 | 5.29,8 | 5.37,9 | 13.03,6 |"
4WD A-B-C Förare,,,,,,,,,,,,
Snr,Tot.pl,Kl.pl,Fk,Namn,Klubb,Bil,Anmälare,Tillägg (sek),Tot.tid,Tot.diff,Kl.diff,Sträcktider
10,7,1,A,Mick Fraas/Ronni Bengtson,FAMA/FAMA,Subaru WRX sti,TTA Rally,0,"20.36,6","0.35,0",,"4.36,1 | 3.31,2 | 3.34,6 | 8.54,7 |"
