Ekrundan 2024 - Klassplacering (inofficiella resultat),,,,,,,,,,,,
Ungdom,,,,,,,,,,,,
Snr,Tot.pl,Kl.pl,Fk,Namn,Klubb,Bil,Anmälare,Tillägg (sek),Tot.tid,Tot.diff,Kl.diff,Sträcktider
1,27,1,U,Ludvig Fransson/Daniel Mörn,Vimmerby MS/Gränna MK,Volvo 940,,0,"14.44,3","1.49,5",,"3.56,2 | 3.37,2 | 3.46,8 | 3.24,1 |"
2,33,2,U,Ludvig Johansson/Bengt Johansson,VMS/VMS,VW Golf 4,,0,"15.14,7","2.19,9","0.30,4","4.10,4 | 3.37,9 | 3.55,1 | 3.31,3 |"
Gr.E. A-B-förare,,,,,,,,,,,,
Snr,Tot.pl,Kl.pl,Fk,Namn,Klubb,Bil,Anmälare,Tillägg (sek),Tot.tid,Tot.diff,Kl.diff,Sträcktider
4,35,1,B,Anders Hugosson/Matilda Hugosson,Wäxjö MS/Wäxjö MS,Toyota Corolla,,0,"15.20,8","2.26,0",,"4.07,3 | 3.39,7 | 4.00,3 | 3.33,5 |"
3,37,2,B,Samuel Toftgård/Elina Toftgård,Skillingaryds MK/Skillingaryds MK,Honda Civic,,0,"15.29,3","2.34,5","0.08,5","4.13,9 | 3.43,8 | 3.59,4 | 3.32,2 |"
Gr.E.- C förare,,,,,,,,,,,,
Snr,Tot.pl,Kl.pl,Fk,Namn,Klubb,Bil,Anmälare,Tillägg (sek),Tot.tid,Tot.diff,Kl.diff,Sträcktider
12,34,1,C,Rickard Klahr/Alexxis Klahr,SMK Eksjö /SMK Eksjö,Volvo 940,,0,"15.18,9","2.24,1",,"4.00,4 | 3.42,5 | 3.58,5 | 3.37,5 |"
6,40,2,C,Robin Bolsgård/Simon Bolsgård,Skillingaryd MK/Skillingaryd MK,Volvo 744,,0,"15.35,2","2.40,4","0.16,3","4.10,0 | 3.43,6 | 4.06,8 | 3.34,8 |"
13,42,3,C,Anders Braf/Emma Braf,Silverdalens MSK/Silverdalens MSK,VW Golf,,0,"15.39,7","2.44,9","0.20,8","4.10,0 | 3.42,9 | 4.10,2 | 3.36,6 |"
8,43,4,C,Jakob Sandberg/Mikael Johansson,Norrahammars MK/,VW Golf 3,,0,"15.41,6","2.46,8","0.22,7","4.14,0 | 3.40,5 | 4.08,6 | 3.38,5 |"
9,45,5,C,Jörgen Johansson/Ludwig Johansson,Nässjö MK/Nässjö MK,VW Golf 4,,0,"15.45,5","2.50,7","0.26,6","4.11,3 | 3.46,5 | 4.10,2 | 3.37,5 |"
11,46,6,C,Joakim Gustafsson/Ellen Gustafsson,Wäxjö MS/Wäxjö MS,VW Golf V,,0,"15.52,8","2.58,0","0.33,9","4.15,6 | 3.50,2 | 4.10,5 | 3.36,5 |"
5,51,7,C,Marcus Johansson/Freddy Sjöstedt,Team skogsåkarna /Nässjö Mk,Ford Focus,,0,"16.34,0","3.39,2","1.15,1","4.30,5 | 3.55,9 | 4.19,4 | 3.48,2 |"
7,53,8,C,Per Tangsjö/Magnus Alexandersson,Norrahammars MK/Norrahammars MK,Toyota Corolla,PM Anläggning AB,0,"16.59,2","4.04,4","1.40,3","4.29,8 | 4.01,9 | 4.31,3 | 3.56,2 |"
14,,,C,Johan Gustafsson/Wilmer Lennartsson,Skillingaryds MK/Skillingaryds MK,VW Golf,,0,Brutit,,,"4.04,5 | -.--,- | -.--,- | -.--,- |"
"Volvo Orginal, Gr.N -1400, Gr F, A-B-förare",,,,,,,,,,,,
Snr,Tot.pl,Kl.pl,Fk,Namn,Klubb,Bil,Anmälare,Tillägg (sek),Tot.tid,Tot.diff,Kl.diff,Sträcktider
15,26,1,A,Tobias Malm/Bengt Svensson,Anderstorps Racing Club /Anderstorps Racing Club,Volvo S40,,0,"14.44,3","1.49,5",,"3.55,2 | 3.33,5 | 3.49,6 | 3.26,0 |"
"Volvo Orginal, Gr.N -1400, Gr F, C-förare",,,,,,,,,,,,
Snr,Tot.pl,Kl.pl,Fk,Namn,Klubb,Bil,Anmälare,Tillägg (sek),Tot.tid,Tot.diff,Kl.diff,Sträcktider
21,14,1,C,Marcus Karlsson/Emil Hagelvik,Skillingaryds MK/Skillingaryds MK,Volvo 940,,0,"14.02,0","1.07,2",,"3.44,9 | 3.23,9 | 3.31,7 | 3.21,5 |"
20,19,2,C,Vincent Johansson/Karl Stark,Skillingaryds MK/Skillingaryds MK,Volvo 940,,0,"14.08,6","1.13,8","0.06,6","3.42,6 | 3.30,7 | 3.37,5 | 3.17,8 |"
26,24,3,C,Fredrik Cronwall/Lina Cronwall,Vetlanda RRC/Vetlanda RRC,Volvo 940,,0,"14.41,6","1.46,8","0.39,6","3.56,2 | 3.31,1 | 3.49,5 | 3.24,8 |"
28,25,4,C,Mathias Johansson/Mikael Skärbring,Jungnerligans RC/Jungnerligans RC,Volvo 940,,0,"14.42,1","1.47,3","0.40,1","3.55,9 | 3.30,3 | 3.53,4 | 3.22,5 |"
25,30,5,C,Pontus Carlsson/Sören Carlsson,Team Skogsåkarna/Team Skogsåkarna,Volvo 244,,0,"14.55,5","2.00,7","0.53,5","3.57,7 | 3.37,8 | 3.54,1 | 3.25,9 |"
19,31,6,C,John Oscarsson/Dennis Oscarsson,Skillingaryds MK/Skillingaryd MK,Volvo 940,,0,"14.59,4","2.04,6","0.57,4","4.01,0 | 3.34,0 | 3.53,3 | 3.31,1 |"
23,39,7,C,Mattias Andersson/Peter Callegård,SMK Eksjö/SMK Eksjö,Volvo 244,,0,"15.33,3","2.38,5","1.31,3","4.06,4 | 3.41,8 | 4.06,8 | 3.38,3 |"
