total_place,klass_place,number,driverklass,name,klubb,klass,driver
1,1,5,A,David Nattsson,Falköpings MK,A-förare 4wd,driver
1,1,5,A,Sebastian Johansson,Götene MK,A-förare 4wd,codriver
2,2,3,A,Leif Persson,Laxå MK,A-förare 4wd,driver
2,2,3,A,Hans Bergman,Degerfors RC,A-förare 4wd,codriver
3,3,2,A,Mattias Lindberg,Dals MK,A-förare 4wd,driver
3,3,2,A,Marcus Bengtsson,Dals MK,A-förare 4wd,codriver
4,1,61,C,Kevin Eriksson,SMK Trollhättan,C -förare 2 wd,driver
4,1,61,C,Andreas Andersson,SMK Trollhättan,C -förare 2 wd,codriver
5,1,21,A,Kristian Johansson,Borås MK,A - förare 2 wd,driver
5,1,21,A,Alexander Johansson,Falköpings MK,A - förare 2 wd,codriver
6,1,29,B,Anders Johanson,Laxå MK,B - förare 4 wd,driver
6,1,29,B,Sivert Svensson,Laxå MK,B - förare 4 wd,codriver
7,2,27,B,Sören Svensson,MK Ran,B - förare 4 wd,driver
7,2,27,B,Nils Nilsson,MK Ran,B - förare 4 wd,codriver
8,1,74,C,Fredrik Rosén,MK Trophy,C-förare Appendix K,driver
8,1,74,C,Lars Abrahamsson,Stenungsunds MS,C-förare Appendix K,codriver
9,2,19,A,Bengt Carlsson,Vara MK,A - förare 2 wd,driver
9,2,19,A,Tomas Johansson,Kullings MS,A - förare 2 wd,codriver
10,3,18,A,Bo Almgren,Woxnadalens MK,A - förare 2 wd,driver
10,3,18,A,Johan Thelin,Mälaröarnas MK,A - förare 2 wd,codriver
11,2,68,C,Fredrik Pettersson,Falköpings MK,C -förare 2 wd,driver
11,2,68,C,Marcus Lantz,Falköpings MK,C -förare 2 wd,codriver
12,4,22,A,Marcus Holm,Tidaholms MK,A - förare 2 wd,driver
12,4,22,A,Michaela Logård,Falköpings MK,A - förare 2 wd,codriver
13,1,78,C,Rolf Karlsson,MK Ran,C-förare 4wd,driver
13,1,78,C,Pontus H Karlsson,MK Ran,C-förare 4wd,codriver
14,1,56,B,Kenneth Ringström,Fjugesta MS,B -förare 2 wd,driver
14,1,56,B,Kristofer Ringström,Fjugesta MS,B -förare 2 wd,codriver
15,2,46,B,Emil Johansson,Falköpings MK,B -förare 2 wd,driver
15,2,46,B,Ninni Floberg,Falköpings MK,B -förare 2 wd,codriver
16,3,53,B,Erik Stenberg,Kullings MS,B -förare 2 wd,driver
16,3,53,B,Mikael Fagerlind,Falköpings MK,B -förare 2 wd,codriver
17,4,58,B,Stig Christensen,Falköpings MK,B -förare 2 wd,driver
17,4,58,B,Andreas Josefsson,Falköpings MK,B -förare 2 wd,codriver
18,4,6,A,Bengt Thorsell,Skaraborgs Sportvagnsklubb,A-förare 4wd,driver
18,4,6,A,Fredrik Palm,Skara MK,A-förare 4wd,codriver
19,5,55,B,Joakim Willingskär,MK i Väst,B -förare 2 wd,driver
19,5,55,B,Susanne Hallengren,Kullings MS,B -förare 2 wd,codriver
20,6,52,B,Jonny Nylin,MK Ran,B -förare 2 wd,driver
20,6,52,B,Ida Nylin,MK Ran,B -förare 2 wd,codriver
21,7,54,B,Kjell Karlsson,SMK Karlskoga,B -förare 2 wd,driver
21,7,54,B,Per Ola Elg,Hällefors MK,B -förare 2 wd,codriver
22,3,28,B,Urban Andersson,Stenungsunds MS,B - förare 4 wd,driver
22,3,28,B,Stig Andersson,Älvbygdens MK,B - förare 4 wd,codriver
