total_place,klass_place,number,driverklass,name,klubb,klass,driver
1,1,17,ITCR,Kalle Gustafsson,Haninge MK,A/B/C - förare 4 WD,driver
1,1,17,ITCR,Magnus Nilsson,Katrineholms MK,A/B/C - förare 4 WD,codriver
2,2,18,A,Christoffer Haglund,SMK Nyköping,A/B/C - förare 4 WD,driver
2,2,18,A,Lucas Karlsson,SMK Nyköping,A/B/C - förare 4 WD,codriver
3,3,7,A,David Nattsson,Falköpings MK,A/B/C - förare 4 WD,driver
3,3,7,A,Sebastian Johansson,Götene MK,A/B/C - förare 4 WD,codriver
4,4,13,A,Thomas Thunström,Ludvika MS,A/B/C - förare 4 WD,driver
4,4,13,A,Kevin Athley,Wäxjö MS,A/B/C - förare 4 WD,codriver
5,5,14,A,Kenny Stavbom,MK Speed,A/B/C - förare 4 WD,driver
5,5,14,A,Mattias Andersson,Säffle MC,A/B/C - förare 4 WD,codriver
6,6,16,ITCR,Stig Andervang,MK Rimo,A/B/C - förare 4 WD,driver
6,6,16,ITCR,Robin Eriksson,SMK Valdemarsvik,A/B/C - förare 4 WD,codriver
7,7,15,A,Martin Jakobsson,Kolsva MS,A/B/C - förare 4 WD,driver
7,7,15,A,Henrik Lundh,Eskilstuna MK,A/B/C - förare 4 WD,codriver
8,1,34,A,André Nygren,MK Ratten,A - förare 2 WD,driver
8,1,34,A,Emil Olsson,MK Ratten,A - förare 2 WD,codriver
9,8,302,B,Arvid Johansson,Lessebo MK,A/B/C - förare 4 WD,driver
9,8,302,B,Roger Dahlberg,Kristdala MS,A/B/C - förare 4 WD,codriver
10,2,305,A,Victor Karlsson,Vimmerby MS,A - förare 2 WD,driver
10,2,305,A,Jonas Magnér,KAK Motorsport,A - förare 2 WD,codriver
11,3,67,A,Johan Lundqvist,SMK Trollhättan,A - förare 2 WD,driver
11,3,67,A,Carl Örberg,SMK Trollhättan,A - förare 2 WD,codriver
12,9,8,A,Mattias Olsson,Stenungsunds MS,A/B/C - förare 4 WD,driver
12,9,8,A,Erik Gustafsson,SMK Linde,A/B/C - förare 4 WD,codriver
13,10,300,A,Mattias Nyström,Ludvika MS,A/B/C - förare 4 WD,driver
13,10,300,A,Jonna Nyström,Ludvika MS,A/B/C - förare 4 WD,codriver
14,4,306,A,Christopher Zeijlon,Skillingaryds MK,A - förare 2 WD,driver
14,4,306,A,Christofer Svensson,Skillingaryds MK,A - förare 2 WD,codriver
15,5,48,A,Stefan Alenmalm,SMK Trollhättan,A - förare 2 WD,driver
15,5,48,A,Kristoffer Karlsson,SMK Trollhättan,A - förare 2 WD,codriver
16,6,42,A,Emil Karlsson,Hällefors MK,A - förare 2 WD,driver
16,6,42,A,Jessica Larsson,Rasbo MK,A - förare 2 WD,codriver
17,7,46,A,Pontus Berglund,SMK Hörby,A - förare 2 WD,driver
17,7,46,A,Peter Berglund,SMK Hörby,A - förare 2 WD,codriver
18,11,21,A,Magnus Engelbrektsson,MK Team Treske,A/B/C - förare 4 WD,driver
18,11,21,A,Carin Nilsson,MK Team Treske,A/B/C - förare 4 WD,codriver
19,8,36,A,Hampus Jakobsson,SMK Nyköping,A - förare 2 WD,driver
19,8,36,A,Pontus Jakobsson,SMK Nyköping,A - förare 2 WD,codriver
20,9,51,A,Lars Engström,Kullings MS,A - förare 2 WD,driver
20,9,51,A,Conny Erixon,Kullings MS,A - förare 2 WD,codriver
21,12,19,C,Tomas Söderberg,Falkenbergs MK,A/B/C - förare 4 WD,driver
21,12,19,C,Alexander Glavsjö,Fryksdalens MK,A/B/C - förare 4 WD,codriver
22,10,63,A,Emil Friman,Vetlanda RRC,A - förare 2 WD,driver
22,10,63,A,Tom Törngren,Gränna MK,A - förare 2 WD,codriver
23,11,49,A,Marcus Holm,Tidaholms MK,A - förare 2 WD,driver
