total_place,klass_place,number,driverklass,name,klubb,klass,driver
1,1,7,A,Martin Jakobsson,Kolsva MS,4 wd,driver
1,1,7,A,Henrik Lundh,Eskilstuna MK,4 wd,codriver
2,2,308,A,Fredrik Grahn,SMK Örebro,4 wd,driver
2,2,308,A,Ida Lidebjer Granberg,Asarums MS,4 wd,codriver
3,3,5,A,David Nattsson,Falköpings MK,4 wd,driver
3,3,5,A,Sebastian Johansson,Götene MK,4 wd,codriver
4,4,12,C,Filip Karlström,Gullabo RC,4 wd,driver
4,4,12,C,Tomas Norrstrand,Taxinge MK,4 wd,codriver
5,1,28,A,Melvin Bengtsson,Kullings MS,A-förare 2 WD,driver
5,1,28,A,Carl Eriksson,Skillingaryds MK,A-förare 2 WD,codriver
6,5,10,B,Mikael Hallqvist,Finspångs MS,4 wd,driver
6,5,10,B,Ronnie Maxe,Finspångs MS,4 wd,codriver
7,2,32,A,Thomas Lennstrand,Kullings MS,A-förare 2 WD,driver
7,2,32,A,Conny Erixon,Kullings MS,A-förare 2 WD,codriver
8,1,107,B,Joel Norqvist,SMK Trollhättan,B-förare 2 WD,driver
8,1,107,B,Lars Andersson,SMK Trollhättan,B-förare 2 WD,codriver
9,3,21,A,Lars Engström,Kullings MS,A-förare 2 WD,driver
9,3,21,A,Roger Dahlberg,Kristdala MS,A-förare 2 WD,codriver
10,2,105,B,Rasmus Carlson,Katrineholms MK,B-förare 2 WD,driver
10,2,105,B,Sam Karlsson,Älmhults MK,B-förare 2 WD,codriver
11,3,93,B,Alexander Andersson,MK Kinda,B-förare 2 WD,driver
11,3,93,B,Kristoffer Ringström,Fjugesta MS,B-förare 2 WD,codriver
12,4,94,B,Rasmus Holm,Hällefors MK,B-förare 2 WD,driver
12,4,94,B,Christian Ohlsson,Forshaga MC,B-förare 2 WD,codriver
13,4,15,A,Christopher Zeijlon,Skillingaryds MK,A-förare 2 WD,driver
13,4,15,A,Christofer Svensson,Skillingaryds MK,A-förare 2 WD,codriver
14,5,16,A,Johan Svensson,SMK Valdemarsvik,A-förare 2 WD,driver
14,5,16,A,Fredrik Eklund,SMK Valdemarsvik,A-förare 2 WD,codriver
15,6,17,A,Emil Carlsson,Katrineholms MK,A-förare 2 WD,driver
15,6,17,A,Tobias Abrahamsson,Katrineholms MK,A-förare 2 WD,codriver
16,6,6,A,Mattias Nyström,Ludvika MS,4 wd,driver
16,6,6,A,Jonna Nyström,Ludvika MS,4 wd,codriver
17,7,1,A,Mattias Lindberg,Dals MK,4 wd,driver
17,7,1,A,Marcus Bengtsson,Dals MK,4 wd,codriver
18,1,160,C,Robin Gustafsson,MK Team Westom,C-förare 2 WD,driver
18,1,160,C,Erik Bergström,MK Team Westom,C-förare 2 WD,codriver
19,5,95,B,Linus Flodin,Kils MK Bil,B-förare 2 WD,driver
19,5,95,B,Tobias Fredriksson,Säffle MC,B-förare 2 WD,codriver
20,7,29,A,Tommy Eliasson,Storfors MK,A-förare 2 WD,driver
20,7,29,A,Richard Svensson,Storfors MK,A-förare 2 WD,codriver
21,2,354,C,Oskar Andersson,Vimmerby MS,C-förare 2 WD,driver
21,2,354,C,Alexander Glavsjö,Fryksdalens MK,C-förare 2 WD,codriver
22,8,41,A,Bengt Carlsson,Vara MK,A-förare 2 WD,driver
22,8,41,A,Andreas Aleryd,Vara MK,A-förare 2 WD,codriver
23,9,34,A,Emil Lennartsson,MK Speed,A-förare 2 WD,driver
23,9,34,A,Mikael Pettersson,SMK Gävle,A-förare 2 WD,codriver
24,1,330,A,Antti Johannesson,Eskilstuna MK,App K 2 WD -1981,driver
24,1,330,A,Anton Persson,Strängnäs AMS,App K 2 WD -1981,codriver
25,6,96,B,Joel Persson,Ilsbo MK,B-förare 2 WD,driver
25,6,96,B,Tobias Sandmark,Sandvikens MK,B-förare 2 WD,codriver
26,10,27,A,Mikael Ericsson,SMK Trollhättan,A-förare 2 WD,driver
26,10,27,A,Martin Svensson,SMK Trollhättan,A-förare 2 WD,codriver
27,11,25,A,Rasmus Pettersson,Katrineholms MK,A-förare 2 WD,driver
27,11,25,A,Leif Fredriksson,Katrineholms MK,A-förare 2 WD,codriver
28,2,67,A,Eddie Hörbing,SMK Karlskoga,App K 2 WD -1981,driver
28,2,67,A,Annette Åhman,Almunge MK,App K 2 WD -1981,codriver
29,12,22,A,Emil Friman,Vetlanda RRC,A-förare 2 WD,driver
29,12,22,A,Tom Törngren,Gränna MK,A-förare 2 WD,codriver
30,8,4,A,Göran Lindström,Huddinge MK,4 wd,driver
30,8,4,A,Kjell Andersson,Huddinge MK,4 wd,codriver
31,13,38,A,Daniel Hoffmann,SMK Linde,A-förare 2 WD,driver
31,13,38,A,Erik Gustavsson,SMK Linde,A-förare 2 WD,codriver
32,7,115,B,Filip Ekenved,Göteborgs MF,B-förare 2 WD,driver
32,7,115,B,Kim Pettersson,SMK Trollhättan,B-förare 2 WD,codriver
33,3,58,A,Kjell Fransson,Vimmerby MS,App K 2 WD -1981,driver
33,3,58,A,Peter Fransson,Vimmerby MS,App K 2 WD -1981,codriver
34,4,62,A,Markus Börjesson,Älvbygdens MK,App K 2 WD -1981,driver
34,4,62,A,Björn Ekenved,Göteborgs MF,App K 2 WD -1981,codriver
35,3,163,C,Kevin Eriksson,SMK Trollhättan,C-förare 2 WD,driver
35,3,163,C,Andreas Andersson,SMK Trollhättan,C-förare 2 WD,codriver
36,8,337,B,Jonas Helgesson,Älvbygdens MK,B-förare 2 WD,driver
36,8,337,B,Marcus Marin,Älvbygdens MK,B-förare 2 WD,codriver
37,9,118,B,Hasse Ericsson,Kullings MS,B-förare 2 WD,driver
37,9,118,B,Rikard Jakobsson,Kullings MS,B-förare 2 WD,codriver
38,9,2,A,Ingvar Andersson,Hässleholms MK,4 wd,driver
38,9,2,A,Adam Andersson,Hässleholms MK,4 wd,codriver
39,14,30,A,Bengt Abrahamsson,Kullings MS,A-förare 2 WD,driver
39,14,30,A,Pierre Ellison,Säffle MC,A-förare 2 WD,codriver
40,10,9,B,Hannah Jakobsson,Kolsva MS,4 wd,driver
40,10,9,B,Christer Carlsson,Katrineholms MK,4 wd,codriver
41,10,100,B,Wille Lennartsson,MK Speed,B-förare 2 WD,driver
41,10,100,B,Erika Lindgren,Haninge MK,B-förare 2 WD,codriver
42,11,114,B,Emil Johansson,Falköpings MK,B-förare 2 WD,driver
42,11,114,B,Johanna Hallqvist,Vara MK,B-förare 2 WD,codriver
43,12,98,B,Alexander Alexandersson,Vimmerby MS,B-förare 2 WD,driver
43,12,98,B,Jonas Frejd,Vimmerby MS,B-förare 2 WD,codriver
44,5,69,A,Rune Karlsson,Kullings MS,App K 2 WD -1981,driver
44,5,69,A,Mattias Löfman,Vara MK,App K 2 WD -1981,codriver
45,1,46,A,Oscar Östlund,Hällefors MK,"A/B-förare Gr F, VOC Gr N<1600, R1B",driver
45,1,46,A,Daniel Andersson,VÖMK,"A/B-förare Gr F, VOC Gr N<1600, R1B",codriver
46,13,99,B,Kenneth Ringström,Fjugesta MS,B-förare 2 WD,driver
46,13,99,B,Håkan Berger,Fjugesta MS,B-förare 2 WD,codriver
47,14,101,B,Sven Hansen,Fryksdalens MK,B-förare 2 WD,driver
47,14,101,B,Niklas Haag,Munkfors MC,B-förare 2 WD,codriver
48,4,162,C,Erik Hult,Katrineholms MK,C-förare 2 WD,driver
48,4,162,C,Melker Lundin,Katrineholms MK,C-förare 2 WD,codriver
49,15,37,A,Charles Andersson,Borlänge MK,A-förare 2 WD,driver
49,15,37,A,Lars Grip,SMK Hälsinge,A-förare 2 WD,codriver
50,2,49,A,Magnus Lindqvist,Laxå MK,"A/B-förare Gr F, VOC Gr N<1600, R1B",driver
50,2,49,A,Dennis Persson,Laxå MK,"A/B-förare Gr F, VOC Gr N<1600, R1B",codriver
51,15,104,B,Kevin Möller,Norrköpings MK,B-förare 2 WD,driver
51,15,104,B,Malin Wall,Norrköpings MK,B-förare 2 WD,codriver
52,16,39,A,Lars-Ove Biffen Olsson,Forshaga MC,A-förare 2 WD,driver
52,16,39,A,Torbjörn Jönsson,Forshaga MC,A-förare 2 WD,codriver
53,16,102,B,Hans Johansson,SMK Valdemarsvik,B-förare 2 WD,driver
53,16,102,B,Magnus Lindwall,SMK Valdemarsvik,B-förare 2 WD,codriver
54,5,166,C,Jesper Sandgren,Falköpings MK,C-förare 2 WD,driver
54,5,166,C,Urban Fröjd,Falköpings MK,C-förare 2 WD,codriver
55,3,44,A,Daniel Suvala,SMK Nyköping,"A/B-förare Gr F, VOC Gr N<1600, R1B",driver
55,3,44,A,Patrik Johansson,SMK Nyköping,"A/B-förare Gr F, VOC Gr N<1600, R1B",codriver
56,4,47,A,Niklas Berglund,Eskilstuna MK,"A/B-förare Gr F, VOC Gr N<1600, R1B",driver
56,4,47,A,Henrik Pedersen,SMK Nyköping,"A/B-förare Gr F, VOC Gr N<1600, R1B",codriver
57,17,119,B,Filip Rosendahl,Toarps MK Borås,B-förare 2 WD,driver
57,17,119,B,Mikael Rosendahl,Toarps MK Borås,B-förare 2 WD,codriver
58,5,45,A,Kent Larsson,MK Team Westom,"A/B-förare Gr F, VOC Gr N<1600, R1B",driver
58,5,45,A,Caroline Gassner,MK Team Westom,"A/B-förare Gr F, VOC Gr N<1600, R1B",codriver
59,6,52,B,Willy Klarén,Kullings MS,"A/B-förare Gr F, VOC Gr N<1600, R1B",driver
59,6,52,B,Joakim Nygårdh,Kullings MS,"A/B-förare Gr F, VOC Gr N<1600, R1B",codriver
60,7,57,A,Anders Olsson,Vänersborgs MK,"A/B-förare Gr F, VOC Gr N<1600, R1B",driver
60,7,57,A,Sven Olsson,Vänersborgs MK,"A/B-förare Gr F, VOC Gr N<1600, R1B",codriver
61,1,124,C,Mattias Holm,SMK Trollhättan,"C-förare Gr F, VOC, Gr N<1600, R1B",driver
