total_place,klass_place,number,driverklass,name,klubb,klass,driver
1,1,7,A,David Nattsson,Falköpings MK,A-förare 4wd,driver
1,1,7,A,Sebastian Johansson,Götene MK,A-förare 4wd,codriver
2,2,8,A,Kenneth Bäcklund,Vara MK,A-förare 4wd,driver
2,2,8,A,Jörgen Eriksson,Kullings MS,A-förare 4wd,codriver
3,3,9,A,Tobias Pettersson,Gränna MK,A-förare 4wd,driver
3,3,9,A,Åke Kjellgren,Gränna MK,A-förare 4wd,codriver
4,1,36,B,Hannah Jakobsson,Kolsva MS,B-C förare 4wd,driver
4,1,36,B,Lars Lindqvist,Falköpings MK,B-C förare 4wd,codriver
5,1,26,A,Matti Johansson,Vara MK,A - 2 wd,driver
5,1,26,A,Pontus Leierth,Falköpings MK,A - 2 wd,codriver
6,2,27,A,Mikael Ericsson,SMK Trollhättan,A - 2 wd,driver
6,2,27,A,Martin Svensson,SMK Trollhättan,A - 2 wd,codriver
7,1,74,B,Stig Christensen,Falköpings MK,B-förare 2wd,driver
7,1,74,B,Peter Lindman,Falköpings MK,B-förare 2wd,codriver
8,2,72,B,Claes Söderqvist,Götene MK,B-förare 2wd,driver
8,2,72,B,Martin Andersson,Götene MK,B-förare 2wd,codriver
9,3,28,A,Kristian Johansson,Borås MK,A - 2 wd,driver
9,3,28,A,Peter Wester,Kullings MS,A - 2 wd,codriver
10,3,73,B,Kevin Eriksson,SMK Trollhättan,B-förare 2wd,driver
10,3,73,B,Andreas Andersson,SMK Trollhättan,B-förare 2wd,codriver
11,1,76,C,Fredrik Pettersson,Falköpings MK,C-förare 2wd,driver
11,1,76,C,Markus Lantz,Falköpings MK,C-förare 2wd,codriver
12,2,35,B,Joakim Blomdahl,Kullings MS,B-C förare 4wd,driver
12,2,35,B,Rikard Jakobsson,Kullings MS,B-C förare 4wd,codriver
13,4,20,A,Bengt Carlsson,Vara MK,A - 2 wd,driver
13,4,20,A,Andreas Aleryd,Vara MK,A - 2 wd,codriver
14,5,24,A,Marcus Holm,Tidaholms MK,A - 2 wd,driver
14,5,24,A,Emil Fröberg,Mariestads MS,A - 2 wd,codriver
15,1,1,A,Lasse Storm,KAK Motorsport,A-förare Appendix K,driver
15,1,1,A,Ulf Storm,Stenungsunds MS,A-förare Appendix K,codriver
16,3,37,B,Sören Svensson,MK Ran,B-C förare 4wd,driver
16,3,37,B,Nils Nilsson,MK Ran,B-C förare 4wd,codriver
17,6,21,A,Tom Carlsson,Laxå MK,A - 2 wd,driver
17,6,21,A,My Carlsson,Falköpings MK,A - 2 wd,codriver
18,4,59,B,Heidi Ryrlén,Vänersborgs MK,B-förare 2wd,driver
18,4,59,B,Peter Hansson,Vänersborgs MK,B-förare 2wd,codriver
19,7,14,A,Anders Johansson,Kullings MS,A - 2 wd,driver
19,7,14,A,Peter Andersson,Kullings MS,A - 2 wd,codriver
20,2,2,A,Markus Börjesson,Älvbygdens MK,A-förare Appendix K,driver
20,2,2,A,Björn Ekenved,Göteborgs MF,A-förare Appendix K,codriver
21,5,67,B,Hasse Ericsson,Kullings MS,B-förare 2wd,driver
21,5,67,B,Benny Larsson,Kullings MS,B-förare 2wd,codriver
22,6,64,B,Carl-Johan Nordgren,Dals MK,B-förare 2wd,driver
22,6,64,B,Casper Nordgren,Dals MK,B-förare 2wd,codriver
23,7,54,B,Jonny Nylin,MK Ran,B-förare 2wd,driver
23,7,54,B,Stefan Eriksson,Falköpings MK,B-förare 2wd,codriver
24,8,70,B,Mats Johansson,Göteborgs MF,B-förare 2wd,driver
24,8,70,B,Ulrika Johansson,Kullings MS,B-förare 2wd,codriver
25,1,10,A,Magnus Lindqvist,Laxå MK,A-Förare VOC/Gr-N/Gr-F,driver
25,1,10,A,Håkan Tjärnbro,Falköpings MK,A-Förare VOC/Gr-N/Gr-F,codriver
26,9,68,B,Stefan Grönberg,Dals MK,B-förare 2wd,driver
26,9,68,B,Ulf Örnqvist,Stenungsunds MS,B-förare 2wd,codriver
27,8,18,A,Dennis Persson,Laxå MK,A - 2 wd,driver
27,8,18,A,Fanny Långström,Falköpings MK,A - 2 wd,codriver
28,10,56,B,Erik Stenberg,Kullings MS,B-förare 2wd,driver
28,10,56,B,Niclas Börjesson,Kullings MS,B-förare 2wd,codriver
29,9,17,A,Mattias Lindberg,Dals MK,A - 2 wd,driver
29,9,17,A,Marcus Bengtsson,Dals MK,A - 2 wd,codriver
30,4,40,C,Rolf Karlsson,MK Ran,B-C förare 4wd,driver
30,4,40,C,Pontus H Karlsson,MK Ran,B-C förare 4wd,codriver
31,1,48,B,Alexander Zell,Tibro MK,B - VOC Mekonomen Rally / Grupp F,driver
31,1,48,B,Kim Telin,Skövde MK,B - VOC Mekonomen Rally / Grupp F,codriver
32,11,55,B,Willy Klarén,Kullings MS,B-förare 2wd,driver
32,11,55,B,Sören Klaren,Falköpings MK,B-förare 2wd,codriver
33,1,108,C,Oliver Sundström,Vara MK,C-förare VOC/Gr-N/Gr-F,driver
33,1,108,C,Rasmus Ebenholm,Vara MK,C-förare VOC/Gr-N/Gr-F,codriver
34,2,53,B,Frank Jacobsson,Vara MK,B - VOC Mekonomen Rally / Grupp F,driver
34,2,53,B,Alexander Kolbert,Götene MK,B - VOC Mekonomen Rally / Grupp F,codriver
35,3,51,B,Christoffer Olsson,Säffle MC,B - VOC Mekonomen Rally / Grupp F,driver
35,3,51,B,Jacob Olsson,Falköpings MK,B - VOC Mekonomen Rally / Grupp F,codriver
36,12,66,B,Joakim Willingskär,MK Väst,B-förare 2wd,driver
36,12,66,B,Susanne Hallengren,Kullings MS,B-förare 2wd,codriver
37,4,46,B,Jimmy Karlsson,Hagfors MK,B - VOC Mekonomen Rally / Grupp F,driver
37,4,46,B,Kewin Carlsson,Ludvika MS,B - VOC Mekonomen Rally / Grupp F,codriver
38,5,47,B,Gustaf Ekenved,Göteborgs MF,B - VOC Mekonomen Rally / Grupp F,driver
38,5,47,B,Victor Holmstrand,Kullings MS,B - VOC Mekonomen Rally / Grupp F,codriver
39,2,110,C,Robin Lund,Säffle MC,C-förare VOC/Gr-N/Gr-F,driver
39,2,110,C,Per Carlsson,Ludvika MS,C-förare VOC/Gr-N/Gr-F,codriver
40,2,84,C,Richard Jonsson,Götene MK,C-förare 2wd,driver
40,2,84,C,Toni Andersson,Götene MK,C-förare 2wd,codriver
41,10,23,A,Andreas Elfver,Gränna MK,A - 2 wd,driver
41,10,23,A,Sofie Elfver,Gränna MK,A - 2 wd,codriver
42,3,4,A,Martin Lindén,Team Skogsåkarna,A-förare Appendix K,driver
42,3,4,A,Håkan Lindh,MSK Kvarnvingarna,A-förare Appendix K,codriver
43,3,121,C,Felix Nordenfors,SMK Trollhättan,C-förare VOC/Gr-N/Gr-F,driver
43,3,121,C,Max Fredlund,SMK Trollhättan,C-förare VOC/Gr-N/Gr-F,codriver
44,11,15,A,Lars-Ove Biffen Olsson,Forshaga MC,A - 2 wd,driver
44,11,15,A,Torbjörn Jönsson,Forshaga MC,A - 2 wd,codriver
45,4,114,C,John Magnusson,Dals MK,C-förare VOC/Gr-N/Gr-F,driver
45,4,114,C,Loiuse Andersson,Falköpings MK,C-förare VOC/Gr-N/Gr-F,codriver
46,5,127,C,Emil Ivarsson,Kullings MS,C-förare VOC/Gr-N/Gr-F,driver
46,5,127,C,Christer Grip,Falköpings MK,C-förare VOC/Gr-N/Gr-F,codriver
47,1,29,B,Peter Dahlsund,Varbergs MK,B-förare Appendix K,driver
47,1,29,B,Mats Larsson,Varbergs MK,B-förare Appendix K,codriver
48,13,65,B,Sebastian Orava,Laxå MK,B-förare 2wd,driver
48,13,65,B,Fanny Fransson,Laxå MK,B-förare 2wd,codriver
49,3,79,C,Stefan Magnusson,Norrahammars MK,C-förare 2wd,driver
49,3,79,C,Jesper Stendal,Tidaholms MK,C-förare 2wd,codriver
50,4,3,A,Per-Åke Forsman,Dals MK,A-förare Appendix K,driver
50,4,3,A,Peter Karlsson,Dals MK,A-förare Appendix K,codriver
51,14,69,B,Henrik Sjöberg,Ljungby MK,B-förare 2wd,driver
51,14,69,B,Anders Sjöberg,Ljungby MK,B-förare 2wd,codriver
52,6,52,B,Fredrik Bergström,Säffle MC,B - VOC Mekonomen Rally / Grupp F,driver
52,6,52,B,Per Johansson,Säffle MC,B - VOC Mekonomen Rally / Grupp F,codriver
53,1,99,C,Tobias Andersson,Sotenäs MK,C-förare Gr E,driver
53,1,99,C,Caroline Holmstig,Sotenäs MK,C-förare Gr E,codriver
54,1,43,B,Joakim Widell,Vara MK,B-förare Gr E,driver
54,1,43,B,Anton Karlsson,Falköpings MK,B-förare Gr E,codriver
55,15,63,B,Daniel Gustafsson,Kullings MS,B-förare 2wd,driver
55,15,63,B,Viktoria Gustafsson Thor,Kullings MS,B-förare 2wd,codriver
56,4,83,C,Jimmy Larsson,Tidaholms MK,C-förare 2wd,driver
56,4,83,C,Michaela Logård,Tidaholms MK,C-förare 2wd,codriver
57,16,62,B,Mattias Jonsson,Kullings MS,B-förare 2wd,driver
57,16,62,B,Wille Jonsson,Skene MS,B-förare 2wd,codriver
58,6,129,C,Simon Arvidsson,Falköpings MK,C-förare VOC/Gr-N/Gr-F,driver
58,6,129,C,Carl Svensson,Falköpings MK,C-förare VOC/Gr-N/Gr-F,codriver
59,2,101,C,Stefan Ivarsson,Tjörns MF,C-förare Gr E,driver
59,2,101,C,Camilla Andersson,Tjörns MF,C-förare Gr E,codriver
